name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
atmosmodj,1270432,1270432,8814880,6.938490214,4,7,0.2448581118,5.46e-06,3.15e-06,5.51e-06,1.93e-07,32,1,16,194.0960807,0.992174,1.170913,1.18015
TSOPF_FS_b300_c2,56814,56814,8767466,154.3187595,1,27742,962.1461563,0.00271621008,1.76e-05,0.4882951385,0.01693501877,32,1,64,897.6182998,0.498422,2.272983,4.56036
torso1,116158,116158,8516500,73.31823895,9,3263,419.587941,0.0006311940542,7.75e-05,0.0280910484,0.003612217334,32,8,32,570.8980431,0.448184,0.607713,1.35595
Stanford_Berkeley,683446,683446,7583376,11.09579396,0,83448,284.8320877,1.62e-05,0.0,0.122098893,0.0004167587311,32,32,64,9349.586513,0.66092,6.697984,10.1343
pkustk12,94653,94653,7512317,79.36691917,12,4146,148.3910384,0.0008385040006,0.000126778866,0.04380209819,0.001567737297,32,1,16,285.1188242,0.404337,0.5952,1.47204
TSOPF_RS_b2052_c1,25626,25626,6761100,263.8375088,2,635,310.4750537,0.01029569612,7.8e-05,0.0247795208,0.01211562685,32,8,16,187.3221014,0.329073,0.373248,1.13424
com-Youtube,1134890,1134890,5975248,5.265045952,1,28754,50.75434291,4.64e-06,8.81e-07,0.02533637621,4.47e-05,32,1,16,313.0931178,0.882299,3.382897,3.83418
pre2,659033,659033,5959282,9.042463731,1,628,22.12165562,1.37e-05,1.52e-06,0.000952911311,3.36e-05,32,1,8,151.0623493,0.548966,0.626647,1.1415
roadNet-CA,1971281,1971281,5533214,2.806912865,0,12,1.005277919,1.42e-06,0.0,6.09e-06,5.1e-07,32,1,8,131.4448881,0.93013,1.143788,1.22971
Hamrle3,1447360,1447360,5514242,3.809862094,2,6,1.551494333,2.63e-06,1.38e-06,4.15e-06,1.07e-06,32,1,16,218.9158912,0.821944,0.970517,1.18076
para-6,155924,155924,5416358,34.73716682,8,6931,22.278156,0.0002227826815,5.13e-05,0.04445114286,0.0001428782997,32,1,8,295.2275456,0.375398,0.798546,2.1272
para-5,155924,155924,5416358,34.73716682,8,6931,22.278156,0.0002227826815,5.13e-05,0.04445114286,0.0001428782997,32,1,8,186.4446367,0.374907,0.797481,2.12714
para-9,155924,155924,5416358,34.73716682,8,6931,22.278156,0.0002227826815,5.13e-05,0.04445114286,0.0001428782997,32,1,8,188.9446952,0.374815,0.79745,2.12758
Chebyshev4,68121,68121,5377761,78.94424627,9,68121,1061.43997,0.001158882669,0.0001321178491,1.0,0.01558168509,32,4,64,3227.481723,0.32085,4.987125,15.5435
para-4,153226,153226,5326228,34.76060199,10,5776,19.88599174,0.000226858379,6.53e-05,0.03769595238,0.0001297820979,32,1,8,142.2025809,0.37847,0.786412,2.07787
tmt_sym,726713,726713,5080961,6.991702364,3,9,1.007603382,9.62e-06,4.13e-06,1.24e-05,1.39e-06,32,1,32,836.7007393,0.458363,0.507638,1.1075
ecology2,999999,999999,4995991,4.995995996,3,5,0.06321370076,5e-06,3e-06,5e-06,6.32e-08,32,1,16,236.5733229,0.536474,0.625398,1.16576
netherlands_osm,2216688,2216688,4882476,2.202599554,1,7,0.5815615452,9.94e-07,4.51e-07,3.16e-06,2.62e-07,32,1,8,86.00779821,1.0061,1.262469,1.25481
TSOPF_FS_b300_c1,29214,29214,4400122,150.616896,1,13942,676.2740696,0.005155640994,3.42e-05,0.4772369412,0.02314897205,32,1,64,251.4836405,0.295199,1.085491,3.67715
TSOPF_FS_b300,29214,29214,4400122,150.616896,1,13942,676.2740696,0.005155640994,3.42e-05,0.4772369412,0.02314897205,32,1,64,234.7785389,0.284324,1.08461,3.8147
TSOPF_RS_b678_c1,18696,18696,4396289,235.1459671,2,512,252.7656701,0.01257734098,0.000106974754,0.02738553701,0.01351977268,32,2,16,59.34788645,0.20609,0.256635,1.24526
gupta2,62064,62064,4248286,68.45008378,3,8413,356.0233759,0.001102895137,4.83e-05,0.1355536221,0.005736391078,32,4,32,340.8956622,0.272189,0.773253,2.84087
pkustk04,55590,55590,4218660,75.88882893,12,4230,110.8879208,0.001365152526,0.000215866163,0.07609282245,0.001994745832,32,2,16,75.37741659,0.226652,0.462377,2.04003
vsp_bcsstk30_500sep_10in_1Kout,58348,58348,4033156,69.12243779,0,219,32.16167706,0.001184658219,0.0,0.003753342017,0.0005512044468,32,2,16,37.27898789,0.24108,0.328571,1.36291
barrier2-11,115625,115625,3897557,33.70860108,8,8437,28.46078351,0.0002915338472,6.92e-05,0.07296864865,0.0002461473168,32,1,8,302.9127846,0.281405,0.852019,3.02773
barrier2-10,115625,115625,3897557,33.70860108,8,8437,28.46078351,0.0002915338472,6.92e-05,0.07296864865,0.0002461473168,32,1,8,131.1060192,0.281057,0.903588,3.21496
barrier2-12,115625,115625,3897557,33.70860108,8,8437,28.46078351,0.0002915338472,6.92e-05,0.07296864865,0.0002461473168,32,1,8,335.7132432,0.281477,0.886221,3.14847
