name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
wy2010,86204,86204,427586,4.960164262,1,136,3.529437649,5.75e-05,1.16e-05,0.001577653009,4.09e-05,32,4,8,62.19674024,0.0608051,0.071496,1.17582
net25,9520,9520,401200,42.14285714,3,139,32.47989959,0.004426770708,0.0003151260504,0.01460084034,0.003411754159,32,2,16,32.7437905,0.0308941,0.039045,1.26383
g7jac100,29610,29610,384636,12.99007092,2,153,22.56358128,0.000438705536,6.75e-05,0.005167173252,0.0007620257103,32,2,16,91.9823688,0.0340787,0.042035,1.23347
bcsstk38,8032,8032,355460,44.25547809,2,614,20.44818955,0.00550989518,0.0002490039841,0.07644422311,0.002545840333,32,2,16,50.71704943,0.0254362,0.056443,2.219
HEP-th-new,27770,27770,352807,12.70460929,0,562,15.96708433,0.0004574940328,0.0,0.02023766655,0.0005749760293,128,2,16,81.24598447,0.0949351,0.131277,1.38281
Kuu,7102,7102,340200,47.90199944,23,98,19.95357817,0.006744860523,0.003238524359,0.01379892988,0.002809571694,64,4,16,82.463877,0.0301466,0.033413,1.10835
graham1,9035,9035,335504,37.13381295,1,406,22.23617562,0.004109995899,0.0001106806862,0.04493635861,0.002461115177,128,2,16,51.44940915,0.0597094,0.078961,1.32242
lpl1,32460,32460,328036,10.10585336,1,253,15.47717327,0.0003113325126,3.08e-05,0.007794208256,0.0004768075561,32,2,16,82.77732499,0.0358605,0.046899,1.30782
cegb2919,2919,2919,321543,110.1551901,0,267,41.55907602,0.03773730392,0.0,0.0914696814,0.01423743612,32,2,16,33.62293031,0.0213606,0.027996,1.31064
bcsstm36,23052,23052,320606,13.90794725,0,103,14.03479827,0.0006033293098,0.0,0.004468158945,0.0006088321303,32,2,16,13.15895631,0.0253338,0.027904,1.10145
Na5,5832,5832,305630,52.40569273,14,204,59.25411166,0.008985886956,0.002400548697,0.03497942387,0.01016017004,32,2,8,31.08465386,0.0235725,0.031345,1.32973
