name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
mult_dcop_02,25187,25187,193276,7.6736411640925875,1,22767,143.81386046994737,0.0003046667393533,3.970302139992854e-05,0.9039186882121728,0.0057098447798446,32,1,32,0.0282726,1.30306,46.0891
mult_dcop_01,25187,25187,193276,7.6736411640925875,1,22767,143.81386046994737,0.0003046667393533,3.970302139992854e-05,0.9039186882121728,0.0057098447798446,32,1,32,0.0283034,1.303173,46.043
bloweybq,10001,10001,69991,6.998400159984001,4,10001,99.94002299689848,0.0006997700389945,0.0003999600039996,1.0,0.0099930029993899,32,1,32,0.0130867,0.59905,45.7755
ASIC_320k,321821,321821,2635364,8.188912469975545,1,203800,502.9514089995888,2.5445550383522345e-05,3.1073174217965886e-06,0.6332712905621448,0.0015628296755015,32,1,64,0.378931,15.736986,41.53
hangGlider_4,15561,15561,149532,9.609408135723925,2,13831,110.8353631819668,0.0006175315298325,0.0001285264443159,0.8888246256667309,0.0071226375671208,32,1,32,0.0203674,0.824494,40.4811
hangGlider_5,16011,16011,155246,9.696208856411218,2,14231,112.42735914190266,0.0006055967057904,0.0001249141215414,0.8888264318281182,0.0070218824022173,32,1,32,0.0210022,0.764355,36.394
hangGlider_3,10260,10260,92703,9.035380116959065,2,9119,89.97590762490637,0.0008806413369355,0.0001949317738791,0.8887914230019494,0.0087695816398544,32,1,16,0.0155955,0.547625,35.1143
transient,178866,178866,961790,5.3771538470139655,1,60423,147.18548456564855,3.006247049195468e-05,5.5907774535126855e-06,0.337811546073597,0.0008228812885939,32,1,64,0.152863,5.272115,34.4892
shermanACb,18510,18510,145149,7.841653160453808,1,10405,99.94945369899676,0.0004236441469721,5.4024851431658565e-05,0.5621285791464073,0.0053997543867637,32,1,32,0.0209715,0.675799,32.2246
rajat28,87190,87190,607235,6.96450280995527,1,29105,101.97742144648674,7.98773117324839e-05,1.1469205184080745e-05,0.33381121688267,0.0011695999707132,32,1,16,0.0812442,2.534574,31.197
rajat25,87190,87190,607235,6.96450280995527,1,29105,101.97742144648674,7.98773117324839e-05,1.1469205184080745e-05,0.33381121688267,0.0011695999707132,32,1,16,0.0812032,2.519941,31.0325
rajat17,94294,94294,641159,6.799573673828664,1,28755,97.729291483592,7.211035350954104e-05,1.0605128640210406e-05,0.3049504740492502,0.0010364317081001,32,1,16,0.0858214,2.632939,30.6793
rajat18,94294,94294,485143,5.145003923897597,1,28747,96.93349027727078,5.456342846732132e-05,1.0605128640210406e-05,0.3048656330201285,0.001027992133935,32,1,64,0.0753664,2.277161,30.2145
rajat24,358172,358172,1948235,5.439383871436069,1,105296,180.115995882045,1.518651338305638e-05,2.791954703326893e-06,0.2939816624415085,0.0005028757018472,32,1,64,0.290273,8.766955,30.2024
rajat16,94294,94294,641159,6.799573673828664,1,28755,97.729291483592,7.211035350954104e-05,1.0605128640210406e-05,0.3049504740492502,0.0010364317081001,32,1,16,0.085719,2.569585,29.9768
TSOPF_FS_b9_c6,14454,14454,147972,10.237442922374427,1,7210,105.2533867964444,0.0007082774956672,6.918500069185e-05,0.4988238549882385,0.0072819556383315,32,1,32,0.0188314,0.553155,29.3741
circuit_3,12127,12127,48137,3.9694071081058793,1,2305,21.04686906929265,0.0003273197912184,8.246062505153789e-05,0.1900717407437948,0.0017355379788317,32,1,16,0.0125747,0.357683,28.4447
rajat20,86916,86916,605045,6.961261447834691,1,29105,101.87349220795916,8.00918294426192e-05,1.150536149845828e-05,0.3348635464126283,0.0011720913549629,32,1,16,0.0811008,2.30442,28.4143
case9,14454,14454,147972,10.237442922374427,1,7210,105.2533867964444,0.0007082774956672,6.918500069185e-05,0.4988238549882385,0.0072819556383315,32,1,16,0.0195072,0.552806,28.3386
TSOPF_RS_b39_c30,60098,60098,1079986,17.97041498885154,2,32,13.997592651979604,0.0002990185195655,3.327897766980598e-05,0.0005324636427168,0.0002329127866481,32,1,64,0.093112,2.589348,27.809
rajat21,411676,411676,1893370,4.599175079431397,1,118689,188.7726632201032,1.11718319246966e-05,2.4290947249778954e-06,0.2883068238129014,0.0004585466804479,32,1,32,0.309484,8.561459,27.6637
bloweya,30004,30004,150009,4.999633382215705,2,10001,57.762928934317614,0.0001666322284433,6.665777896280495e-05,0.3333222237035062,0.0019251742745739,32,1,32,0.0246067,0.666399,27.082
