name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
bcsstm35,30237,30237,20619,0.6819128881833515,0,6,1.0343288801838746,2.255226669918813e-05,0.0,0.000198432384165,3.420739095094998e-05,256,1,2,0.0519885,0.077558,1.49183
bcsstm35,30237,30237,20619,0.6819128881833515,0,6,1.0343288801838746,2.255226669918813e-05,0.0,0.000198432384165,3.420739095094998e-05,512,1,16,0.0996557,0.141885,1.42375
stokes128,49666,49666,558594,11.247010026980227,5,13,2.3865962882928757,0.0002264529059513,0.0001006724922482,0.0002617484798453,4.805291926655814e-05,32,1,32,0.048896,0.048824,0.998527
stokes128,49666,49666,558594,11.247010026980227,5,13,2.3865962882928757,0.0002264529059513,0.0001006724922482,0.0002617484798453,4.805291926655814e-05,64,1,8,0.0819507,0.06913,0.843556
stokes128,49666,49666,558594,11.247010026980227,5,13,2.3865962882928757,0.0002264529059513,0.0001006724922482,0.0002617484798453,4.805291926655814e-05,128,1,8,0.152566,0.136909,0.897376
stokes128,49666,49666,558594,11.247010026980227,5,13,2.3865962882928757,0.0002264529059513,0.0001006724922482,0.0002617484798453,4.805291926655814e-05,256,1,8,0.297667,0.25942,0.871511
stokes128,49666,49666,558594,11.247010026980227,5,13,2.3865962882928757,0.0002264529059513,0.0001006724922482,0.0002617484798453,4.805291926655814e-05,512,1,8,0.589148,0.482284,0.818613
model9,2879,10939,55956,19.43591524835012,0,216,24.80377963082956,0.0017767542964027,0.0,0.0197458634244446,0.002267463171298,32,1,1,inf,inf,nan
model9,2879,10939,55956,19.43591524835012,0,216,24.80377963082956,0.0017767542964027,0.0,0.0197458634244446,0.002267463171298,64,1,1,inf,inf,nan
model9,2879,10939,55956,19.43591524835012,0,216,24.80377963082956,0.0017767542964027,0.0,0.0197458634244446,0.002267463171298,128,1,1,inf,inf,nan
model9,2879,10939,55956,19.43591524835012,0,216,24.80377963082956,0.0017767542964027,0.0,0.0197458634244446,0.002267463171298,256,1,1,inf,inf,nan
model9,2879,10939,55956,19.43591524835012,0,216,24.80377963082956,0.0017767542964027,0.0,0.0197458634244446,0.002267463171298,512,1,1,inf,inf,nan
bcsstk08,1074,1074,12960,12.067039106145252,1,339,21.07477980305071,0.0112356043818857,0.0009310986964618,0.3156424581005586,0.0196227000028405,32,1,8,0.0066048,0.026266,3.9768
bcsstk08,1074,1074,12960,12.067039106145252,1,339,21.07477980305071,0.0112356043818857,0.0009310986964618,0.3156424581005586,0.0196227000028405,64,1,8,0.00786432,0.037929,4.82292
bcsstk08,1074,1074,12960,12.067039106145252,1,339,21.07477980305071,0.0112356043818857,0.0009310986964618,0.3156424581005586,0.0196227000028405,128,1,8,0.00933888,0.037376,4.00219
bcsstk08,1074,1074,12960,12.067039106145252,1,339,21.07477980305071,0.0112356043818857,0.0009310986964618,0.3156424581005586,0.0196227000028405,256,1,8,0.0117146,0.035574,3.03672
bcsstk08,1074,1074,12960,12.067039106145252,1,339,21.07477980305071,0.0112356043818857,0.0009310986964618,0.3156424581005586,0.0196227000028405,512,1,8,0.0177869,0.036076,2.02823
lp_fit2d,25,10524,129042,5161.68,1427,10500,2750.4276572198733,0.4904675028506272,0.1355948308627898,0.9977194982896236,0.261348124023173,32,1,256,inf,inf,nan
